giornata;casa;ospite;data
1;Venezia;Atalanta;2026-08-23
1;Bologna;Udinese;2026-08-23
1;Torino;Cagliari;2026-08-23
1;Como;Sassuolo;2026-08-23
1;Roma;Fiorentina;2026-08-23
1;Frosinone;Parma;2026-08-23
1;Napoli;Genoa;2026-08-23
1;Inter;Monza;2026-08-23
1;Milan;Juventus;2026-08-23
1;Lazio;Lecce;2026-08-23
2;Atalanta;Bologna;2026-08-30
2;Venezia;Cagliari;2026-08-30
2;Como;Udinese;2026-08-30
2;Torino;Fiorentina;2026-08-30
2;Frosinone;Sassuolo;2026-08-30
2;Roma;Genoa;2026-08-30
2;Inter;Parma;2026-08-30
2;Napoli;Juventus;2026-08-30
2;Lazio;Monza;2026-08-30
2;Milan;Lecce;2026-08-30
3;Cagliari;Atalanta;2026-09-06
3;Como;Bologna;2026-09-06
3;Venezia;Fiorentina;2026-09-06
3;Frosinone;Udinese;2026-09-06
3;Torino;Genoa;2026-09-06
3;Inter;Sassuolo;2026-09-06
3;Roma;Juventus;2026-09-06
3;Lazio;Parma;2026-09-06
3;Napoli;Lecce;2026-09-06
3;Milan;Monza;2026-09-06
4;Atalanta;Como;2026-09-13
4;Cagliari;Fiorentina;2026-09-13
4;Frosinone;Bologna;2026-09-13
4;Venezia;Genoa;2026-09-13
4;Inter;Udinese;2026-09-13
4;Torino;Juventus;2026-09-13
4;Lazio;Sassuolo;2026-09-13
4;Roma;Lecce;2026-09-13
4;Milan;Parma;2026-09-13
4;Napoli;Monza;2026-09-13
5;Fiorentina;Atalanta;2026-09-20
5;Frosinone;Como;2026-09-20
5;Cagliari;Genoa;2026-09-20
5;Inter;Bologna;2026-09-20
5;Venezia;Juventus;2026-09-20
5;Lazio;Udinese;2026-09-20
5;Torino;Lecce;2026-09-20
5;Milan;Sassuolo;2026-09-20
5;Roma;Monza;2026-09-20
5;Napoli;Parma;2026-09-20
6;Atalanta;Frosinone;2026-09-27
6;Fiorentina;Genoa;2026-09-27
6;Inter;Como;2026-09-27
6;Cagliari;Juventus;2026-09-27
6;Lazio;Bologna;2026-09-27
6;Venezia;Lecce;2026-09-27
6;Milan;Udinese;2026-09-27
6;Torino;Monza;2026-09-27
6;Napoli;Sassuolo;2026-09-27
6;Roma;Parma;2026-09-27
7;Genoa;Atalanta;2026-10-04
7;Inter;Frosinone;2026-10-04
7;Fiorentina;Juventus;2026-10-04
7;Lazio;Como;2026-10-04
7;Cagliari;Lecce;2026-10-04
7;Milan;Bologna;2026-10-04
7;Venezia;Monza;2026-10-04
7;Napoli;Udinese;2026-10-04
7;Torino;Parma;2026-10-04
7;Roma;Sassuolo;2026-10-04
8;Atalanta;Inter;2026-10-11
8;Genoa;Juventus;2026-10-11
8;Lazio;Frosinone;2026-10-11
8;Fiorentina;Lecce;2026-10-11
8;Milan;Como;2026-10-11
8;Cagliari;Monza;2026-10-11
8;Napoli;Bologna;2026-10-11
8;Venezia;Parma;2026-10-11
8;Roma;Udinese;2026-10-11
8;Torino;Sassuolo;2026-10-11
9;Juventus;Atalanta;2026-10-18
9;Lazio;Inter;2026-10-18
9;Genoa;Lecce;2026-10-18
9;Milan;Frosinone;2026-10-18
9;Fiorentina;Monza;2026-10-18
9;Napoli;Como;2026-10-18
9;Cagliari;Parma;2026-10-18
9;Roma;Bologna;2026-10-18
9;Venezia;Sassuolo;2026-10-18
9;Torino;Udinese;2026-10-18
10;Atalanta;Lazio;2026-10-25
10;Juventus;Lecce;2026-10-25
10;Milan;Inter;2026-10-25
10;Genoa;Monza;2026-10-25
10;Napoli;Frosinone;2026-10-25
10;Fiorentina;Parma;2026-10-25
10;Roma;Como;2026-10-25
10;Cagliari;Sassuolo;2026-10-25
10;Torino;Bologna;2026-10-25
10;Venezia;Udinese;2026-10-25
11;Lecce;Atalanta;2026-11-01
11;Milan;Lazio;2026-11-01
11;Juventus;Monza;2026-11-01
11;Napoli;Inter;2026-11-01
11;Genoa;Parma;2026-11-01
11;Roma;Frosinone;2026-11-01
11;Fiorentina;Sassuolo;2026-11-01
11;Torino;Como;2026-11-01
11;Cagliari;Udinese;2026-11-01
11;Venezia;Bologna;2026-11-01
12;Atalanta;Milan;2026-11-08
12;Lecce;Monza;2026-11-08
12;Napoli;Lazio;2026-11-08
12;Juventus;Parma;2026-11-08
12;Roma;Inter;2026-11-08
12;Genoa;Sassuolo;2026-11-08
12;Torino;Frosinone;2026-11-08
12;Fiorentina;Udinese;2026-11-08
12;Venezia;Como;2026-11-08
12;Cagliari;Bologna;2026-11-08
13;Monza;Atalanta;2026-11-15
13;Napoli;Milan;2026-11-15
13;Lecce;Parma;2026-11-15
13;Roma;Lazio;2026-11-15
13;Juventus;Sassuolo;2026-11-15
13;Torino;Inter;2026-11-15
13;Genoa;Udinese;2026-11-15
13;Venezia;Frosinone;2026-11-15
13;Fiorentina;Bologna;2026-11-15
13;Cagliari;Como;2026-11-15
14;Atalanta;Napoli;2026-11-22
14;Monza;Parma;2026-11-22
14;Roma;Milan;2026-11-22
14;Lecce;Sassuolo;2026-11-22
14;Torino;Lazio;2026-11-22
14;Juventus;Udinese;2026-11-22
14;Venezia;Inter;2026-11-22
14;Genoa;Bologna;2026-11-22
14;Cagliari;Frosinone;2026-11-22
14;Fiorentina;Como;2026-11-22
15;Parma;Atalanta;2026-11-29
15;Roma;Napoli;2026-11-29
15;Monza;Sassuolo;2026-11-29
15;Torino;Milan;2026-11-29
15;Lecce;Udinese;2026-11-29
15;Venezia;Lazio;2026-11-29
15;Juventus;Bologna;2026-11-29
15;Cagliari;Inter;2026-11-29
15;Genoa;Como;2026-11-29
15;Fiorentina;Frosinone;2026-11-29
16;Atalanta;Roma;2026-12-06
16;Parma;Sassuolo;2026-12-06
16;Torino;Napoli;2026-12-06
16;Monza;Udinese;2026-12-06
16;Venezia;Milan;2026-12-06
16;Lecce;Bologna;2026-12-06
16;Cagliari;Lazio;2026-12-06
16;Juventus;Como;2026-12-06
16;Fiorentina;Inter;2026-12-06
16;Genoa;Frosinone;2026-12-06
17;Sassuolo;Atalanta;2026-12-13
17;Torino;Roma;2026-12-13
17;Parma;Udinese;2026-12-13
17;Venezia;Napoli;2026-12-13
17;Monza;Bologna;2026-12-13
17;Cagliari;Milan;2026-12-13
17;Lecce;Como;2026-12-13
17;Fiorentina;Lazio;2026-12-13
17;Juventus;Frosinone;2026-12-13
17;Genoa;Inter;2026-12-13
18;Atalanta;Torino;2026-12-20
18;Sassuolo;Udinese;2026-12-20
18;Venezia;Roma;2026-12-20
18;Parma;Bologna;2026-12-20
18;Cagliari;Napoli;2026-12-20
18;Monza;Como;2026-12-20
18;Fiorentina;Milan;2026-12-20
18;Lecce;Frosinone;2026-12-20
18;Genoa;Lazio;2026-12-20
18;Juventus;Inter;2026-12-20
19;Udinese;Atalanta;2026-12-27
19;Venezia;Torino;2026-12-27
19;Sassuolo;Bologna;2026-12-27
19;Cagliari;Roma;2026-12-27
19;Parma;Como;2026-12-27
19;Fiorentina;Napoli;2026-12-27
19;Monza;Frosinone;2026-12-27
19;Genoa;Milan;2026-12-27
19;Lecce;Inter;2026-12-27
19;Juventus;Lazio;2026-12-27
20;Venezia;Atalanta;2027-01-03
20;Bologna;Udinese;2027-01-03
20;Torino;Cagliari;2027-01-03
20;Como;Sassuolo;2027-01-03
20;Roma;Fiorentina;2027-01-03
20;Frosinone;Parma;2027-01-03
20;Napoli;Genoa;2027-01-03
20;Inter;Monza;2027-01-03
20;Milan;Juventus;2027-01-03
20;Lazio;Lecce;2027-01-03
21;Atalanta;Bologna;2027-01-10
21;Venezia;Cagliari;2027-01-10
21;Como;Udinese;2027-01-10
21;Torino;Fiorentina;2027-01-10
21;Frosinone;Sassuolo;2027-01-10
21;Roma;Genoa;2027-01-10
21;Inter;Parma;2027-01-10
21;Napoli;Juventus;2027-01-10
21;Lazio;Monza;2027-01-10
21;Milan;Lecce;2027-01-10
22;Cagliari;Atalanta;2027-01-17
22;Como;Bologna;2027-01-17
22;Venezia;Fiorentina;2027-01-17
22;Frosinone;Udinese;2027-01-17
22;Torino;Genoa;2027-01-17
22;Inter;Sassuolo;2027-01-17
22;Roma;Juventus;2027-01-17
22;Lazio;Parma;2027-01-17
22;Napoli;Lecce;2027-01-17
22;Milan;Monza;2027-01-17
23;Atalanta;Como;2027-01-24
23;Cagliari;Fiorentina;2027-01-24
23;Frosinone;Bologna;2027-01-24
23;Venezia;Genoa;2027-01-24
23;Inter;Udinese;2027-01-24
23;Torino;Juventus;2027-01-24
23;Lazio;Sassuolo;2027-01-24
23;Roma;Lecce;2027-01-24
23;Milan;Parma;2027-01-24
23;Napoli;Monza;2027-01-24
24;Fiorentina;Atalanta;2027-01-31
24;Frosinone;Como;2027-01-31
24;Cagliari;Genoa;2027-01-31
24;Inter;Bologna;2027-01-31
24;Venezia;Juventus;2027-01-31
24;Lazio;Udinese;2027-01-31
24;Torino;Lecce;2027-01-31
24;Milan;Sassuolo;2027-01-31
24;Roma;Monza;2027-01-31
24;Napoli;Parma;2027-01-31
25;Atalanta;Frosinone;2027-02-07
25;Fiorentina;Genoa;2027-02-07
25;Inter;Como;2027-02-07
25;Cagliari;Juventus;2027-02-07
25;Lazio;Bologna;2027-02-07
25;Venezia;Lecce;2027-02-07
25;Milan;Udinese;2027-02-07
25;Torino;Monza;2027-02-07
25;Napoli;Sassuolo;2027-02-07
25;Roma;Parma;2027-02-07
26;Genoa;Atalanta;2027-02-14
26;Inter;Frosinone;2027-02-14
26;Fiorentina;Juventus;2027-02-14
26;Lazio;Como;2027-02-14
26;Cagliari;Lecce;2027-02-14
26;Milan;Bologna;2027-02-14
26;Venezia;Monza;2027-02-14
26;Napoli;Udinese;2027-02-14
26;Torino;Parma;2027-02-14
26;Roma;Sassuolo;2027-02-14
27;Atalanta;Inter;2027-02-21
27;Genoa;Juventus;2027-02-21
27;Lazio;Frosinone;2027-02-21
27;Fiorentina;Lecce;2027-02-21
27;Milan;Como;2027-02-21
27;Cagliari;Monza;2027-02-21
27;Napoli;Bologna;2027-02-21
27;Venezia;Parma;2027-02-21
27;Roma;Udinese;2027-02-21
27;Torino;Sassuolo;2027-02-21
28;Juventus;Atalanta;2027-02-28
28;Lazio;Inter;2027-02-28
28;Genoa;Lecce;2027-02-28
28;Milan;Frosinone;2027-02-28
28;Fiorentina;Monza;2027-02-28
28;Napoli;Como;2027-02-28
28;Cagliari;Parma;2027-02-28
28;Roma;Bologna;2027-02-28
28;Venezia;Sassuolo;2027-02-28
28;Torino;Udinese;2027-02-28
29;Atalanta;Lazio;2027-03-07
29;Juventus;Lecce;2027-03-07
29;Milan;Inter;2027-03-07
29;Genoa;Monza;2027-03-07
29;Napoli;Frosinone;2027-03-07
29;Fiorentina;Parma;2027-03-07
29;Roma;Como;2027-03-07
29;Cagliari;Sassuolo;2027-03-07
29;Torino;Bologna;2027-03-07
29;Venezia;Udinese;2027-03-07
30;Lecce;Atalanta;2027-03-14
30;Milan;Lazio;2027-03-14
30;Juventus;Monza;2027-03-14
30;Napoli;Inter;2027-03-14
30;Genoa;Parma;2027-03-14
30;Roma;Frosinone;2027-03-14
30;Fiorentina;Sassuolo;2027-03-14
30;Torino;Como;2027-03-14
30;Cagliari;Udinese;2027-03-14
30;Venezia;Bologna;2027-03-14
31;Atalanta;Milan;2027-03-21
31;Lecce;Monza;2027-03-21
31;Napoli;Lazio;2027-03-21
31;Juventus;Parma;2027-03-21
31;Roma;Inter;2027-03-21
