Listone di esempio — giocatori inventati, serve solo a far vedere l app in funzione
Id;R;Rm;Nome;Squadra;Qt.A;FVM
900001;P;Por;Fioseuzzi;Atalanta;18;178
900002;P;Por;Cenfoni;Atalanta;9;54
900003;P;Por;Prazaldi;Atalanta;5;21
900004;D;Dc;Vendunzo;Atalanta;19;196
900005;D;Ds;Rusloler;Atalanta;15;127
900006;D;Ds;Callasco;Atalanta;14;112
900007;D;B;Bartitto;Atalanta;12;90
900008;D;Dc;Tinguler;Atalanta;9;59
900009;D;Dc;Venlani;Atalanta;7;35
900010;D;Ds;Belgucci;Atalanta;6;33
900011;D;Dc;Tinvongo;Atalanta;4;17
900012;D;Dd;Corlonte;Atalanta;5;22
900013;C;W;Dorballo;Atalanta;22;252
900014;C;M;Valnildi;Atalanta;19;193
900015;C;E;Ruspoler;Atalanta;14;116
900016;C;M;Rusvonzo;Atalanta;12;86
900017;C;E;Rinsessi;Atalanta;12;91
900018;C;M;Dorlotto;Atalanta;8;44
900019;C;W;Tinzanzo;Atalanta;7;40
900020;C;C;Saldinzo;Atalanta;4;22
900021;C;E;Prasetti;Atalanta;4;19
900022;A;Pc;Belbauzzi;Atalanta;29;416
900023;A;A;Cenrasco;Atalanta;19;191
900024;A;A;Rinlongo;Atalanta;13;103
900025;A;W;Prafassi;Atalanta;8;47
900026;A;A;Monguson;Atalanta;8;44
900027;P;Por;Nevfonzo;Bologna;16;146
900028;P;Por;Calfocci;Bologna;8;49
900029;P;Por;Zolcevic;Bologna;4;21
900030;D;Ds;Torserri;Bologna;20;214
900031;D;Dd;Valmengo;Bologna;17;163
900032;D;B;Calcemez;Bologna;14;115
900033;D;Dd;Tindumez;Bologna;10;65
900034;D;Ds;Calrarda;Bologna;9;59
900035;D;Dc;Monbaler;Bologna;8;45
900036;D;Dc;Lusbardi;Bologna;7;35
900037;D;B;Ostdirdi;Bologna;4;16
900038;D;Ds;Rusmeldi;Bologna;5;24
900039;C;M;Tinzarri;Bologna;21;228
900040;C;C;Salserdi;Bologna;19;195
900041;C;T;Dorlarri;Bologna;16;141
900042;C;M;Venpomez;Bologna;11;78
900043;C;T;Narsevic;Bologna;10;67
900044;C;C;Belcetti;Bologna;8;45
900045;C;E;Lusvordi;Bologna;6;32
900046;C;T;Nevranzo;Bologna;4;20
900047;C;T;Tincemez;Bologna;6;33
900048;A;A;Torceuzzi;Bologna;28;393
900049;A;A;Monpouzzi;Bologna;21;232
900050;A;A;Monloni;Bologna;12;90
900051;A;Pc;Corlarda;Bologna;9;57
900052;A;W;Marfongo;Bologna;7;40
900053;P;Por;Pragianti;Cagliari;16;147
900054;P;Por;Nardimez;Cagliari;9;54
900055;P;Por;Rinseuzzi;Cagliari;5;23
900056;D;Ds;Valmetti;Cagliari;19;192
900057;D;Dc;Rusgirdi;Cagliari;16;142
900058;D;Dd;Venfossi;Cagliari;15;127
900059;D;Dc;Venvoldi;Cagliari;11;80
900060;D;B;Ostdison;Cagliari;9;52
900061;D;B;Ferfoler;Cagliari;8;44
900062;D;Dd;Salvongo;Cagliari;6;30
900063;D;Dd;Fergiler;Cagliari;4;19
900064;D;B;Lusbecci;Cagliari;5;27
900065;C;M;Mongianti;Cagliari;22;254
900066;C;T;Calmecci;Cagliari;18;173
900067;C;M;Brufamez;Cagliari;16;147
900068;C;E;Salloson;Cagliari;12;92
900069;C;C;Zanponi;Cagliari;11;79
900070;C;E;Ostcomez;Cagliari;7;38
900071;C;W;Zollatti;Cagliari;8;51
900072;C;W;Ostceldi;Cagliari;5;28
900073;C;M;Belzacci;Cagliari;4;17
900074;A;W;Fiobeanti;Cagliari;27;361
900075;A;Pc;Sevmeanti;Cagliari;21;232
900076;A;Pc;Cenfordi;Cagliari;15;127
900077;A;Pc;Polgiuzzi;Cagliari;10;67
900078;A;A;Cenduldi;Cagliari;5;24
900079;P;Por;Zanpollo;Como;16;142
900080;P;Por;Nevcerdi;Como;11;73
900081;P;Por;Belpoler;Como;5;27
900082;D;Ds;Nevgiler;Como;20;212
900083;D;Dd;Cenfason;Como;18;179
900084;D;Dc;Luslardi;Como;15;132
900085;D;B;Dalbanzo;Como;10;67
900086;D;B;Sevbeni;Como;8;43
900087;D;Dd;Rusniuzzi;Como;8;47
900088;D;B;Corbamez;Como;7;41
900089;D;B;Cenratto;Como;6;32
900090;D;Dc;Belcoson;Como;6;34
900091;C;M;Monnianti;Como;22;255
900092;C;C;Salgicci;Como;19;190
900093;C;E;Venpoanti;Como;16;141
900094;C;C;Nevrason;Como;11;76
900095;C;E;Gandungo;Como;10;69
900096;C;T;Zoldillo;Como;9;58
900097;C;C;Dalsetto;Como;7;41
900098;C;T;Griberri;Como;5;23
900099;C;E;Brulante;Como;5;21
900100;A;W;Dorfovic;Como;29;415
900101;A;W;Barcotto;Como;19;193
900102;A;Pc;Valserda;Como;14;116
900103;A;Pc;Lusfoanti;Como;8;48
900104;A;Pc;Tinzatti;Como;6;28
900105;P;Por;Cenfanzo;Fiorentina;16;144
900106;P;Por;Monconte;Fiorentina;11;75
900107;P;Por;Corlassi;Fiorentina;6;35
900108;D;Dc;Barzani;Fiorentina;18;177
900109;D;B;Barticci;Fiorentina;15;128
900110;D;Dd;Rusraler;Fiorentina;15;128
900111;D;Dc;Rusrallo;Fiorentina;13;98
900112;D;Dd;Dorvonzo;Fiorentina;8;50
900113;D;Ds;Dalfauzzi;Fiorentina;9;53
900114;D;B;Polponi;Fiorentina;7;38
900115;D;Dd;Ruslatto;Fiorentina;5;28
900116;D;Dd;Ferninte;Fiorentina;6;35
900117;C;W;Belramez;Fiorentina;21;230
900118;C;T;Lusnillo;Fiorentina;19;194
900119;C;M;Pradison;Fiorentina;16;141
900120;C;C;Ferposco;Fiorentina;13;103
900121;C;C;Corcente;Fiorentina;9;56
900122;C;C;Gribarri;Fiorentina;7;37
900123;C;C;Sevmemez;Fiorentina;7;40
900124;C;M;Ferdunte;Fiorentina;5;23
900125;C;M;Dorraanti;Fiorentina;4;15
900126;A;W;Zolcovic;Fiorentina;27;366
900127;A;A;Gancoler;Fiorentina;19;197
900128;A;W;Ostduuzzi;Fiorentina;13;103
900129;A;Pc;Vallouzzi;Fiorentina;9;56
900130;A;A;Valvongo;Fiorentina;7;37
900131;P;Por;Venlardi;Frosinone;16;144
900132;P;Por;Praserdi;Frosinone;8;46
900133;P;Por;Dorgillo;Frosinone;4;20
900134;D;Dc;Barnianti;Frosinone;18;178
900135;D;Dd;Salgison;Frosinone;17;163
900136;D;Ds;Barrason;Frosinone;14;118
900137;D;B;Bellollo;Frosinone;12;87
900138;D;Ds;Narnissi;Frosinone;8;49
900139;D;B;Belcerri;Frosinone;6;31
900140;D;Dc;Cordumez;Frosinone;6;32
900141;D;B;Corgiler;Frosinone;5;28
900142;D;Ds;Ostloson;Frosinone;3;16
900143;C;E;Fermemez;Frosinone;23;274
900144;C;T;Nevlauzzi;Frosinone;19;191
900145;C;C;Marbassi;Frosinone;15;127
900146;C;M;Ganbassi;Frosinone;13;104
900147;C;E;Gandillo;Frosinone;10;64
900148;C;M;Marlaanti;Frosinone;8;46
900149;C;M;Calgurdi;Frosinone;5;24
900150;C;C;Beldingo;Frosinone;4;17
900151;C;C;Rinmeni;Frosinone;5;26
900152;A;A;Rinfatto;Frosinone;26;339
900153;A;W;Monceler;Frosinone;21;230
900154;A;A;Dorcomez;Frosinone;12;89
900155;A;W;Brudunte;Frosinone;8;49
900156;A;A;Cormerdi;Frosinone;6;29
900157;P;Por;Dorconzo;Genoa;16;145
900158;P;Por;Beldianti;Genoa;10;69
900159;P;Por;Saldurdi;Genoa;6;33
900160;D;B;Salbesco;Genoa;18;180
900161;D;Dd;Calditto;Genoa;15;125
900162;D;Ds;Callatto;Genoa;14;114
900163;D;Ds;Polticci;Genoa;11;77
900164;D;Dd;Polgusco;Genoa;11;78
900165;D;Dc;Fiotirdi;Genoa;6;33
900166;D;Dd;Polsetti;Genoa;7;36
900167;D;Dc;Grilovic;Genoa;6;34
900168;D;Dc;Gancengo;Genoa;3;13
900169;C;T;Narcevic;Genoa;23;273
900170;C;E;Pravocci;Genoa;19;191
900171;C;M;Calnirdi;Genoa;14;115
900172;C;E;Venginzo;Genoa;14;114
900173;C;C;Tinlongo;Genoa;11;75
900174;C;T;Valceson;Genoa;7;40
900175;C;E;Dalnison;Genoa;6;33
900176;C;E;Nevmerri;Genoa;6;31
900177;C;E;Dalcotti;Genoa;6;32
900178;A;A;Marfallo;Genoa;28;392
900179;A;Pc;Bruvorda;Genoa;18;174
900180;A;Pc;Sevseson;Genoa;13;103
900181;A;W;Callamez;Genoa;9;58
900182;A;A;Dalceldi;Genoa;7;36
900183;P;Por;Sevbanzo;Inter;17;157
900184;P;Por;Fergusco;Inter;10;62
900185;P;Por;Zanbessi;Inter;6;29
900186;D;Dc;Cenducci;Inter;21;229
900187;D;B;Rinnivic;Inter;17;156
900188;D;B;Tinlordi;Inter;13;103
900189;D;Dd;Monfango;Inter;10;63
900190;D;Dc;Torballo;Inter;9;55
900191;D;Dc;Monmessi;Inter;9;54
900192;D;B;Bruzanzo;Inter;5;28
900193;D;Dc;Belfardi;Inter;6;27
900194;D;Dc;Tinfarda;Inter;3;13
900195;C;W;Grifouzzi;Inter;23;275
900196;C;M;Mondutti;Inter;20;211
900197;C;E;Ostgini;Inter;14;114
900198;C;M;Cennivic;Inter;12;91
900199;C;T;Barcoson;Inter;11;75
900200;C;C;Polcello;Inter;8;47
900201;C;E;Ganlanzo;Inter;8;50
900202;C;T;Rustirdi;Inter;6;28
900203;C;M;Rusfouzzi;Inter;4;17
900204;A;A;Ostbauzzi;Inter;27;362
900205;A;W;Tordini;Inter;20;214
900206;A;Pc;Tinzante;Inter;12;85
900207;A;A;Corvoldi;Inter;8;46
900208;A;W;Dalbango;Inter;7;36
900209;P;Por;Narduler;Juventus;18;174
900210;P;Por;Dallango;Juventus;10;65
900211;P;Por;Zancoler;Juventus;5;21
900212;D;B;Rinmello;Juventus;18;174
900213;D;Dd;Cormente;Juventus;16;140
900214;D;Ds;Zanzante;Juventus;13;102
900215;D;Dc;Marvocci;Juventus;12;86
900216;D;Dc;Rinzardi;Juventus;8;44
900217;D;B;Calduvic;Juventus;7;41
900218;D;Dc;Calfonte;Juventus;7;41
900219;D;Dc;Gripocci;Juventus;6;30
900220;D;Dd;Ferporda;Juventus;4;16
900221;C;W;Ringimez;Juventus;22;254
900222;C;W;Fioguvic;Juventus;19;195
900223;C;M;Moncoler;Juventus;16;145
900224;C;C;Callonte;Juventus;13;104
900225;C;E;Barratti;Juventus;9;56
900226;C;E;Rincetto;Juventus;9;59
900227;C;E;Rusvoni;Juventus;7;38
900228;C;T;Cenbassi;Juventus;5;23
900229;C;C;Caltimez;Juventus;5;27
900230;A;A;Rusmerri;Juventus;27;366
900231;A;A;Bruvouzzi;Juventus;20;213
900232;A;Pc;Salbeson;Juventus;13;101
900233;A;W;Calfallo;Juventus;8;51
900234;A;W;Martitto;Juventus;7;37
900235;P;Por;Dorbason;Lazio;16;141
900236;P;Por;Barzaler;Lazio;10;65
